major_index,major_stage,sub_stage,FULLERTON Fresh Flow1(Auto) Leads,FULLERTON Fresh Flow2(Manual) Leads,KSF Fresh Flow1(Auto) Leads,KSF Fresh Flow2(Manual) Leads,MFL Fresh Flow1(Auto) Leads,MFL Fresh Flow2(Manual) Leads,NACL Fresh Flow1(Auto) Leads,NACL Fresh Flow2(Manual) Leads,PIRAMAL Fresh Flow1(Auto) Leads,PIRAMAL Fresh Flow2(Manual) Leads,PYFL Fresh Flow1(Auto) Leads,PYFL Fresh Flow2(Manual) Leads,SHRIRAM Fresh Flow1(Auto) Leads,SHRIRAM Fresh Flow2(Manual) Leads
13,Application submitted by user,UC_IN_PROGRESS,,,,,,,3.0,2.0,,,,,,
13,Application submitted by user,UDYAM_VALIDATION_REQUEST_FAILURE,,1.0,,,,,,,,,,,,
13,Application submitted by user,VKYC_REQUIRED,,,73.0,63.0,,,,,,,,,,
13,Application submitted by user,Subtotal,1848.0,779.0,688.0,379.0,124.0,29.0,195.0,84.0,309.0,126.0,226.0,151.0,509.0,160.0
13,Subtotal,,1848.0,779.0,688.0,379.0,124.0,29.0,195.0,84.0,309.0,126.0,226.0,151.0,509.0,160.0
14,Submit to LMS,LMS_ACCOUNT_ACTIVE,,,1.0,1.0,,,,,,,,,,
14,Submit to LMS,LMS_CALLBACK_REJECTED,50.0,48.0,,,8.0,5.0,1.0,1.0,6.0,,,,52.0,16.0
14,Submit to LMS,LMS_FETCH_DOCUMENTS_INIT,,,4.0,,,,,,,,,,,
14,Submit to LMS,LMS_FETCH_RPS_INITIATED,,,4.0,6.0,,,,,,,,,,
14,Submit to LMS,LMS_LAN_CREATE_INITIATE,,,5.0,4.0,,,,,,,,,,
14,Submit to LMS,LMS_PDC_CHECK_INITIATE,,,97.0,44.0,,,,,,,35.0,32.0,,
14,Submit to LMS,LMS_SUBMIT_APPLICATION_SUCCESS,167.0,96.0,,,274.0,98.0,37.0,24.0,52.0,26.0,,,193.0,68.0
14,Submit to LMS,LOAN_DISBURSEMENT_FAILURE,,,3.0,1.0,,,,,,,,1.0,,
14,Submit to LMS,LOAN_DISBURSEMENT_INITIATED,,,7.0,8.0,,,,,,,7.0,4.0,,
14,Submit to LMS,Subtotal,217.0,144.0,121.0,64.0,282.0,103.0,38.0,25.0,58.0,26.0,42.0,37.0,245.0,84.0
14,Subtotal,,217.0,144.0,121.0,64.0,282.0,103.0,38.0,25.0,58.0,26.0,42.0,37.0,245.0,84.0
15,Disbursed,BUSINESS_PROOF_QC_ACTION_PENDING,167.0,105.0,,,15.0,6.0,,,,,,,68.0,20.0
15,Disbursed,LMS_ACCOUNT_ACTIVE,,,,,,,,,,,,1.0,,
15,Disbursed,LOAN_DISBURSEMENT_COMPLETED,,,2717.0,2074.0,,,,,,,,,,
15,Disbursed,Subtotal,167.0,105.0,2717.0,2074.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,68.0,20.0
15,Subtotal,,167.0,105.0,2717.0,2074.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,68.0,20.0
16,Lead closed,LEAD_SUCCESSFULLY_CLOSED,6551.0,5952.0,,,410.0,216.0,733.0,490.0,1432.0,1071.0,,,1970.0,973.0
16,Lead closed,LOAN_DISBURSEMENT_COMPLETED,,,,,,,,,,,1096.0,1030.0,,
16,Lead closed,Subtotal,6551.0,5952.0,0.0,0.0,410.0,216.0,733.0,490.0,1432.0,1071.0,1096.0,1030.0,1970.0,973.0
16,Subtotal,,6551.0,5952.0,0.0,0.0,410.0,216.0,733.0,490.0,1432.0,1071.0,1096.0,1030.0,1970.0,973.0
1001,Unmapped,AA_CONSENT_RECEIVED,,,,,,,,,1.0,,,,,
1001,Unmapped,AA_FAILURE,,,,,,,,,53.0,13.0,,,,
1001,Unmapped,AA_REQUIRED,,,,,,,,,937.0,356.0,,,,
1001,Unmapped,AWAIT_OFFER_ACCEPT,,,,,,,,,25.0,12.0,,,,
1001,Unmapped,AWAIT_SELFIE,,,,,,,,,1363.0,346.0,,,,
1001,Unmapped,BANK_NAME_MATCH,,,,,,,,,1.0,,,,,
1001,Unmapped,BRE2_FAILURE,,,,,,,,,27.0,6.0,,,,
1001,Unmapped,CHECK_LRE_RANKING,,,,,,,,,7.0,2.0,,,,
1001,Unmapped,DIY_FI_DOC_UPLOADED,,,,,,,,,23.0,4.0,,,,
1001,Unmapped,DIY_FI_REQUIRED,,,,,,,,,3.0,,,,,
1001,Unmapped,EMANDATE_REQUIRED,,,,,,,,,10.0,7.0,,,,
1001,Unmapped,EMANDATE_SUCCESS,,,2.0,2.0,,,,,,,,,,
1001,Unmapped,ESIGN_INITIATE,,,,,,,,,11.0,3.0,,,,
1001,Unmapped,FETCH_DOC_INIT_SUCCESS,,,,,,,,,,,3.0,1.0,,
1001,Unmapped,FI_AWAITED,,,,,,,,,20.0,15.0,,,,
1001,Unmapped,FI_ON_HOLD,,,,,,,,,21.0,10.0,,,,
1001,Unmapped,FI_REJECTED,,,,,,,,,18.0,7.0,,,,
1001,Unmapped,INITIATE_MULTIMODE_KYC,,,,,,,,,1522.0,462.0,,,,
1001,Unmapped,KYC_COMPLETED,,,,,,,,,,,1.0,,,
1001,Unmapped,KYC_FAILED,,,,,,,,,686.0,199.0,,,,
1001,Unmapped,KYC_INITIATED_DIGILOCKER,,,,,,,,,15.0,4.0,,,,
1001,Unmapped,LEAD_RESET,,,,,,,,,4578.0,1043.0,,,,
1001,Unmapped,LENDER_APPICATION_CREATE_INITIATED,,,,,,,,,4.0,,,,,
1001,Unmapped,LENDER_BANK_DETAILS_SHARING_INITIATED,,,,,,,,,1.0,,,,,
1001,Unmapped,LENDER_BRE1_INIT,,,,,,,,,1.0,,,,,
1001,Unmapped,LENDER_BRE1_INIT_FAILED,,,,,,,,,2844.0,663.0,,,,
1001,Unmapped,LENDER_BRE2_INIT,,,,,,,,,3.0,2.0,,,,
1001,Unmapped,LENDER_BRE2_INIT_FAILED,,,,,,,,,695.0,190.0,,,,
1001,Unmapped,LENDER_BRE2_INIT_OFFER_PENDING,,,,,,,,,4.0,2.0,,,,
1001,Unmapped,LENDER_CREATE_APPLICATION_REJECTED,,,,,,,,,8.0,,,,,
1001,Unmapped,LENDER_DOC_UPLOAD_IN_PROGRESS_FI_REPORT,,,,,,,,,2.0,,,,,
1001,Unmapped,LENDER_LEAD_UPDATE_UPDATE_ADDITIONAL_DETAILS,,,,,,,,,9.0,,,,,
1001,Unmapped,LENDER_LEAD_UPDATE_UPDATE_CONSENTS_DETAILS,,,,,,,,,1.0,,,,,
1001,Unmapped,LMS_FETCH_RPS_FETCHED,,,3.0,,,,,,,,,1.0,,
1001,Unmapped,LOAN_DISBURSEMENT_COMPLETED,,,,,,,,,197.0,62.0,,,,
1001,Unmapped,LOAN_DISBURSEMENT_INITIATED,,,,,,,,,7.0,2.0,,,,
